Medida,Valor
Média,0.0038720910332219935
Variância Amostral,0.01888635696165756
Curtose,1.981099056273246
Máximo,0.3522735891962588
Mínimo,-0.5149553266818131
r0,1.0
r1,0.10644894049343438
r2,-0.1962830052959901
r3,-0.09988068626971612
r4,0.09186762372400134
r5,0.0206148269081012
r6,-0.13225091923786467
r7,-0.04168600668827997
r8,0.07465931209777565
r9,0.09044092180482491
r10,-0.023371336004645915
r11,-0.11040299632490158
r12,0.12995971322692731
r13,0.00013635791785246513
r14,-0.03596634116967927
r15,-0.041561049754822804
r16,-0.05901291034033632
r17,-0.051854814653088124
r18,-0.1324078668113262
r19,-0.1976662197241576
r20,-0.0086237884245038
r21,0.14537004774537868
r22,0.12575478983793614
r23,-0.0756199389248271
r24,-0.11459995402394098
r25,-0.011137479805169102
r26,0.029837700940365013
r27,0.010636227501142988
r28,-0.2028689276858764
r29,0.009892344645013273
r30,0.1479859556296289
r31,0.06583596867342394
r32,0.027538446115148735
r33,0.06801133293545117
r34,0.1807519761973543
r35,0.043465213400416786
r36,-0.05636699034059632
r37,-0.05246753211677745
r38,0.017136349500844007
r39,0.04406148535262391
r40,-0.08767895140121483
r41,-0.030006380106493077
r42,0.09220280140698016
r43,0.1922422120980236
r44,-0.04180222106113409
r45,-0.08369282844736416
r46,0.06051250775924684
r47,0.09202936829362565
r48,-0.0941456522965011
r49,-0.13480358533844067
r50,-0.01445464472091073
r51,0.005560261991495499
r52,-0.06016531988854486
r53,-0.10526897979547406
r54,-0.024602885158977995
r55,0.11163011637782057
r56,0.047902005779804295
r57,-0.06313149521400391
r58,-0.0660400460322965
r59,-0.03263363695657175
r60,-0.07156083024123965
r61,-0.026060178758722678
r62,-0.013595112576667723
r63,0.03315087691035511
r64,0.07593456906718979
r65,0.04596769532909583
r66,-0.0120829180412484
r67,-0.015509025083882928
r68,0.0027050373414523117
r69,0.01661602410981571
r70,-0.015593439906400205
r71,-0.009798585971010248
r72,0.017767623597487694
r73,0.00040036434902979286
r74,-0.0202184019179878
r75,-0.04336823668197
r76,0.025770895451979983
r77,0.0765859610083365
r78,0.006872245440094989
r79,-0.027039403668054032
r80,-0.01675498906621828
r81,-0.0016826820080198348
r82,-0.003132524584217524
r83,-0.023989805382981743
r84,-0.036423130099036874
r85,-0.014991446957393852
